command	numseqs	k	ss	time(s)
ctree	150	8	5000	35.41528344154358
ctree	150	8	7500	35.204430103302
ctree	150	8	10000	34.78023171424866
ctree	150	10	500	52.19568490982056
ctree	150	10	750	53.50390005111694
ctree	150	10	1000	52.55905199050903
ctree	150	10	2500	52.86836218833923
ctree	150	10	5000	52.189817667007446
ctree	150	10	7500	52.61027812957764
ctree	150	10	10000	51.688851833343506
ctree	150	12	500	66.77617263793945
ctree	150	12	750	66.97391891479492
ctree	150	12	1000	66.25110912322998
ctree	150	12	2500	67.41879510879517
ctree	150	12	5000	67.82878565788269
ctree	150	12	7500	66.82444429397583
ctree	150	12	10000	66.2418463230133
ctree	150	14	500	73.52062964439392
ctree	150	14	750	72.07519769668579
ctree	150	14	1000	73.13978862762451
ctree	150	14	2500	73.17288327217102
ctree	150	14	5000	72.99458479881287
ctree	150	14	7500	74.41304302215576
ctree	150	14	10000	73.32933616638184
ctree	150	16	500	75.50997948646545
ctree	150	16	750	75.1775860786438
ctree	150	16	1000	75.38144397735596
ctree	150	16	2500	75.54639649391174
ctree	150	16	5000	74.57725501060486
ctree	150	16	7500	74.58460998535156
ctree	150	16	10000	74.55642414093018
ctree	150	18	500	75.21659803390503
ctree	150	18	750	75.76381731033325
ctree	150	18	1000	75.71292567253113
ctree	150	18	2500	75.31393551826477
ctree	150	18	5000	75.82640933990479
ctree	150	18	7500	75.30144119262695
ctree	150	18	10000	75.78379797935486
prep	175			41.518019914627075
ctree	175	6	500	33.51853704452515
ctree	175	6	750	33.13843822479248
ctree	175	6	1000	33.47734522819519
ctree	175	6	2500	32.82292580604553
ctree	175	6	5000	33.52251625061035
ctree	175	6	7500	33.27590847015381
ctree	175	6	10000	34.3414249420166
ctree	175	8	500	39.755486249923706
ctree	175	8	750	38.84741163253784
ctree	175	8	1000	40.27775502204895
ctree	175	8	2500	40.09403324127197
ctree	175	8	5000	38.78680920600891
ctree	175	8	7500	40.36410164833069
ctree	175	8	10000	39.02303719520569
ctree	175	10	500	58.81695795059204
ctree	175	10	750	57.91783118247986
ctree	175	10	1000	58.066415309906006
ctree	175	10	2500	57.64306616783142
ctree	175	10	5000	57.090017557144165
ctree	175	10	7500	58.25805926322937
ctree	175	10	10000	58.72820472717285
ctree	175	12	500	75.90005564689636
ctree	175	12	750	75.59455585479736
ctree	175	12	1000	74.25693583488464
ctree	175	12	2500	74.47184181213379
ctree	175	12	5000	74.36839485168457
ctree	175	12	7500	74.8658127784729
ctree	175	12	10000	74.50971293449402
ctree	175	14	500	82.55200386047363
ctree	175	14	750	83.2671046257019
ctree	175	14	1000	81.91083025932312
ctree	175	14	2500	82.95407843589783
ctree	175	14	5000	82.53843474388123
ctree	175	14	7500	82.43371033668518
ctree	175	14	10000	83.26320767402649
ctree	175	16	500	84.84618473052979
ctree	175	16	750	85.067542552948
ctree	175	16	1000	83.40286493301392
ctree	175	16	2500	83.51118493080139
ctree	175	16	5000	84.87082934379578
ctree	175	16	7500	84.82096004486084
ctree	175	16	10000	85.1178994178772
ctree	175	18	500	85.86044669151306
ctree	175	18	750	85.84363055229187
ctree	175	18	1000	86.56750440597534
ctree	175	18	2500	86.83547377586365
ctree	175	18	5000	86.07001090049744
ctree	175	18	7500	86.09383249282837
ctree	175	18	10000	86.2900812625885
prep	200			48.157153606414795
ctree	200	6	500	39.295891523361206
ctree	200	6	750	40.265077114105225
ctree	200	6	1000	39.58195757865906
ctree	200	6	2500	39.36824369430542
ctree	200	6	5000	39.850919008255005
ctree	200	6	7500	39.140711545944214
ctree	200	6	10000	39.2000732421875
ctree	200	8	500	46.93762159347534
ctree	200	8	750	46.359232664108276
ctree	200	8	1000	45.378506898880005
ctree	200	8	2500	45.7220413684845
ctree	200	8	5000	46.57279419898987
ctree	200	8	7500	46.456604957580566
ctree	200	8	10000	46.005897998809814
ctree	200	10	500	69.21336221694946
ctree	200	10	750	68.90535545349121
ctree	200	10	1000	68.29227042198181
ctree	200	10	2500	68.79553890228271
ctree	200	10	5000	69.31018018722534
ctree	200	10	7500	69.081613779068
ctree	200	10	10000	68.81887316703796
ctree	200	12	500	89.66755104064941
ctree	200	12	750	88.86804509162903
ctree	200	12	1000	88.92457032203674
ctree	200	12	2500	88.84239888191223
ctree	200	12	5000	89.63783097267151
ctree	200	12	7500	89.25984716415405
ctree	200	12	10000	90.00153040885925
ctree	200	14	500	99.32455468177795
ctree	200	14	750	98.62366795539856
ctree	200	14	1000	100.27322125434875
ctree	200	14	2500	99.07217001914978
ctree	200	14	5000	99.1114513874054
ctree	200	14	7500	101.23150849342346
ctree	200	14	10000	99.67894864082336
ctree	200	16	500	102.69343113899231
ctree	200	16	750	103.69494676589966
ctree	200	16	1000	103.55452418327332
ctree	200	16	2500	103.0433988571167
ctree	200	16	5000	102.07887506484985
ctree	200	16	7500	103.82042121887207
ctree	200	16	10000	103.01863384246826
ctree	200	18	500	103.47237420082092
ctree	200	18	750	103.98161125183105
ctree	200	18	1000	104.78054547309875
ctree	200	18	2500	109.39652299880981
ctree	200	18	5000	105.03493857383728
ctree	200	18	7500	104.48526787757874
ctree	200	18	10000	107.14113879203796
prep	25			6.286753177642822
